county_name,state,year,fips,merge_key,drug_deaths,drug_quantity,population,death_rate,ship_rate
"AUTAUGA COUNTY, AL",AL,2003.0,01001 ,010012003,,,54571.0,,
"AUTAUGA COUNTY, AL",AL,2004.0,01001 ,010012004,,,54571.0,,
"AUTAUGA COUNTY, AL",AL,2005.0,01001 ,010012005,,,54571.0,,
"AUTAUGA COUNTY, AL",AL,2006.0,01001 ,010012006,,20569.0,54571.0,,37692.18082864525
"AUTAUGA COUNTY, AL",AL,2007.0,01001 ,010012007,,12550.0,54571.0,,22997.56280808488
"AUTAUGA COUNTY, AL",AL,2008.0,01001 ,010012008,,13624.0,54571.0,,24965.64109142218
"AUTAUGA COUNTY, AL",AL,2009.0,01001 ,010012009,,28583.0,54571.0,,52377.63647358488
"AUTAUGA COUNTY, AL",AL,2010.0,01001 ,010012010,,30259.0,54571.0,,55448.86478166059
"AUTAUGA COUNTY, AL",AL,2011.0,01001 ,010012011,,29432.0,54571.0,,53933.40785398838
"AUTAUGA COUNTY, AL",AL,2012.0,01001 ,010012012,,30257.0,54571.0,,55445.19983141228
"AUTAUGA COUNTY, AL",AL,2013.0,01001 ,010012013,,,54571.0,,
"AUTAUGA COUNTY, AL",AL,2014.0,01001 ,010012014,,,54571.0,,
"AUTAUGA COUNTY, AL",AL,2015.0,01001 ,010012015,,,54571.0,,
"BALDWIN COUNTY, AL",AL,2003.0,01003 ,010032003,10.0,,182265.0,5.486516884755713,
"BALDWIN COUNTY, AL",AL,2004.0,01003 ,010032004,18.0,,182265.0,9.875730392560282,
"BALDWIN COUNTY, AL",AL,2005.0,01003 ,010032005,14.0,,182265.0,7.681123638657998,
"BALDWIN COUNTY, AL",AL,2006.0,01003 ,010032006,11.0,36482.0,182265.0,6.035168573231284,20015.91089896579
"BALDWIN COUNTY, AL",AL,2007.0,01003 ,010032007,24.0,43172.0,182265.0,13.167640523413711,23686.39069486736
"BALDWIN COUNTY, AL",AL,2008.0,01003 ,010032008,19.0,48364.0,182265.0,10.424382081035855,26534.99026143253
"BALDWIN COUNTY, AL",AL,2009.0,01003 ,010032009,29.0,58442.0,182265.0,15.910898965791569,32064.301977889336
"BALDWIN COUNTY, AL",AL,2010.0,01003 ,010032010,24.0,68091.0,182265.0,13.167640523413711,37358.24211999013
"BALDWIN COUNTY, AL",AL,2011.0,01003 ,010032011,23.0,92472.0,182265.0,12.618988834938138,50734.918936713024
"BALDWIN COUNTY, AL",AL,2012.0,01003 ,010032012,24.0,229774.0,182265.0,13.167640523413711,126065.8930677859
"BALDWIN COUNTY, AL",AL,2013.0,01003 ,010032013,20.0,,182265.0,10.973033769511426,
"BALDWIN COUNTY, AL",AL,2014.0,01003 ,010032014,32.0,,182265.0,17.556854031218283,
"BALDWIN COUNTY, AL",AL,2015.0,01003 ,010032015,40.0,,182265.0,21.946067539022852,
"BARBOUR COUNTY, AL",AL,2003.0,01005 ,010052003,,,27457.0,,
"BARBOUR COUNTY, AL",AL,2004.0,01005 ,010052004,,,27457.0,,
"BARBOUR COUNTY, AL",AL,2005.0,01005 ,010052005,,,27457.0,,
"BARBOUR COUNTY, AL",AL,2006.0,01005 ,010052006,,4234.0,27457.0,,15420.475652838986
"BARBOUR COUNTY, AL",AL,2007.0,01005 ,010052007,,4617.0,27457.0,,16815.384055067923
"BARBOUR COUNTY, AL",AL,2008.0,01005 ,010052008,,4883.0,27457.0,,17784.17161379612
"BARBOUR COUNTY, AL",AL,2009.0,01005 ,010052009,,5639.0,27457.0,,20537.567833339403
"BARBOUR COUNTY, AL",AL,2010.0,01005 ,010052010,,6676.0,27457.0,,24314.382488982774
"BARBOUR COUNTY, AL",AL,2011.0,01005 ,010052011,,6924.0,27457.0,,25217.612994864696
"BARBOUR COUNTY, AL",AL,2012.0,01005 ,010052012,,7936.0,27457.0,,28903.376188221584
"BARBOUR COUNTY, AL",AL,2013.0,01005 ,010052013,,,27457.0,,
"BARBOUR COUNTY, AL",AL,2014.0,01005 ,010052014,,,27457.0,,
"BARBOUR COUNTY, AL",AL,2015.0,01005 ,010052015,,,27457.0,,
"BIBB COUNTY, AL",AL,2003.0,01007 ,010072003,,,22915.0,,
"BIBB COUNTY, AL",AL,2004.0,01007 ,010072004,,,22915.0,,
"BIBB COUNTY, AL",AL,2005.0,01007 ,010072005,,,22915.0,,
"BIBB COUNTY, AL",AL,2006.0,01007 ,010072006,,2863.0,22915.0,,12493.999563604626
"BIBB COUNTY, AL",AL,2007.0,01007 ,010072007,,3380.0,22915.0,,14750.16364826533
"BIBB COUNTY, AL",AL,2008.0,01007 ,010072008,,4039.0,22915.0,,17626.009164302857
