COUNTY_NAME,POPULATION,STATE
"AUTAUGA COUNTY, AL",54571,AL
"BALDWIN COUNTY, AL",182265,AL
"BARBOUR COUNTY, AL",27457,AL
"BIBB COUNTY, AL",22915,AL
"BLOUNT COUNTY, AL",57322,AL
"BULLOCK COUNTY, AL",10914,AL
"BUTLER COUNTY, AL",20947,AL
"CALHOUN COUNTY, AL",118572,AL
"CHAMBERS COUNTY, AL",34215,AL
"CHEROKEE COUNTY, AL",25989,AL
"CHILTON COUNTY, AL",43643,AL
"CHOCTAW COUNTY, AL",13859,AL
"CLARKE COUNTY, AL",25833,AL
"CLAY COUNTY, AL",13932,AL
"CLEBURNE COUNTY, AL",14972,AL
"COFFEE COUNTY, AL",49948,AL
"COLBERT COUNTY, AL",54428,AL
"CONECUH COUNTY, AL",13228,AL
"COOSA COUNTY, AL",11539,AL
"COVINGTON COUNTY, AL",37765,AL
"CRENSHAW COUNTY, AL",13906,AL
"CULLMAN COUNTY, AL",80406,AL
"DALE COUNTY, AL",50251,AL
"DALLAS COUNTY, AL",43820,AL
"DEKALB COUNTY, AL",71109,AL
"ELMORE COUNTY, AL",79303,AL
"ESCAMBIA COUNTY, AL",38319,AL
"ETOWAH COUNTY, AL",104430,AL
"FAYETTE COUNTY, AL",17241,AL
"FRANKLIN COUNTY, AL",31704,AL
"GENEVA COUNTY, AL",26790,AL
"GREENE COUNTY, AL",9045,AL
"HALE COUNTY, AL",15760,AL
"HENRY COUNTY, AL",17302,AL
"HOUSTON COUNTY, AL",101547,AL
"JACKSON COUNTY, AL",53227,AL
"JEFFERSON COUNTY, AL",658466,AL
"LAMAR COUNTY, AL",14564,AL
"LAUDERDALE COUNTY, AL",92709,AL
"LAWRENCE COUNTY, AL",34339,AL
"LEE COUNTY, AL",140247,AL
"LIMESTONE COUNTY, AL",82782,AL
"LOWNDES COUNTY, AL",11299,AL
"MACON COUNTY, AL",21452,AL
"MADISON COUNTY, AL",334811,AL
"MARENGO COUNTY, AL",21027,AL
"MARION COUNTY, AL",30776,AL
"MARSHALL COUNTY, AL",93019,AL
"MOBILE COUNTY, AL",412992,AL
"MONROE COUNTY, AL",23068,AL
"MONTGOMERY COUNTY, AL",229363,AL
"MORGAN COUNTY, AL",119490,AL
"PERRY COUNTY, AL",10591,AL
"PICKENS COUNTY, AL",19746,AL
"PIKE COUNTY, AL",32899,AL
"RANDOLPH COUNTY, AL",22913,AL
"RUSSELL COUNTY, AL",52947,AL
"ST. CLAIR COUNTY, AL",83593,AL
"SHELBY COUNTY, AL",195085,AL
"SUMTER COUNTY, AL",13763,AL
"TALLADEGA COUNTY, AL",82291,AL
"TALLAPOOSA COUNTY, AL",41616,AL
"TUSCALOOSA COUNTY, AL",194656,AL
"WALKER COUNTY, AL",67023,AL
"WASHINGTON COUNTY, AL",17581,AL
"WILCOX COUNTY, AL",11670,AL
"WINSTON COUNTY, AL",24484,AL
"ALACHUA COUNTY, FL",247336,FL
"BAKER COUNTY, FL",27115,FL
"BAY COUNTY, FL",168852,FL
"BRADFORD COUNTY, FL",28520,FL
"BREVARD COUNTY, FL",543376,FL
"BROWARD COUNTY, FL",1748066,FL
"CALHOUN COUNTY, FL",14625,FL
"CHARLOTTE COUNTY, FL",159978,FL
"CITRUS COUNTY, FL",141236,FL
"CLAY COUNTY, FL",190865,FL
"COLLIER COUNTY, FL",321520,FL
"COLUMBIA COUNTY, FL",67531,FL
"DESOTO COUNTY, FL",34862,FL
"DIXIE COUNTY, FL",16422,FL
"DUVAL COUNTY, FL",864263,FL
"ESCAMBIA COUNTY, FL",297619,FL
"FLAGLER COUNTY, FL",95696,FL
"FRANKLIN COUNTY, FL",11549,FL
"GADSDEN COUNTY, FL",46389,FL
"GILCHRIST COUNTY, FL",16939,FL
"GLADES COUNTY, FL",12884,FL
"GULF COUNTY, FL",15863,FL
"HAMILTON COUNTY, FL",14799,FL
"HARDEE COUNTY, FL",27731,FL
"HENDRY COUNTY, FL",39140,FL
"HERNANDO COUNTY, FL",172778,FL
"HIGHLANDS COUNTY, FL",98786,FL
"HILLSBOROUGH COUNTY, FL",1229226,FL
"HOLMES COUNTY, FL",19927,FL
"INDIAN RIVER COUNTY, FL",138028,FL
"JACKSON COUNTY, FL",49746,FL
"JEFFERSON COUNTY, FL",14761,FL
"LAFAYETTE COUNTY, FL",8870,FL
"LAKE COUNTY, FL",297052,FL
"LEE COUNTY, FL",618754,FL
"LEON COUNTY, FL",275487,FL
"LEVY COUNTY, FL",40801,FL
"LIBERTY COUNTY, FL",8365,FL
"MADISON COUNTY, FL",19224,FL
"MANATEE COUNTY, FL",322833,FL
"MARION COUNTY, FL",331298,FL
"MARTIN COUNTY, FL",146318,FL
"MIAMI-DADE COUNTY, FL",2496435,FL
"MONROE COUNTY, FL",73090,FL
"NASSAU COUNTY, FL",73314,FL
"OKALOOSA COUNTY, FL",180822,FL
"OKEECHOBEE COUNTY, FL",39996,FL
"ORANGE COUNTY, FL",1145956,FL
"OSCEOLA COUNTY, FL",268685,FL
"PALM BEACH COUNTY, FL",1320134,FL
"PASCO COUNTY, FL",464697,FL
"PINELLAS COUNTY, FL",916542,FL
"POLK COUNTY, FL",602095,FL
"PUTNAM COUNTY, FL",74364,FL
"ST. JOHNS COUNTY, FL",190039,FL
"ST. LUCIE COUNTY, FL",277789,FL
"SANTA ROSA COUNTY, FL",151372,FL
"SARASOTA COUNTY, FL",379448,FL
"SEMINOLE COUNTY, FL",422718,FL
"SUMTER COUNTY, FL",93420,FL
"SUWANNEE COUNTY, FL",41551,FL
"TAYLOR COUNTY, FL",22570,FL
"UNION COUNTY, FL",15535,FL
"VOLUSIA COUNTY, FL",494593,FL
"WAKULLA COUNTY, FL",30776,FL
"WALTON COUNTY, FL",55043,FL
"WASHINGTON COUNTY, FL",24896,FL
"ADAIR COUNTY, OK",22683,OK
"ALFALFA COUNTY, OK",5642,OK
"ATOKA COUNTY, OK",14182,OK
"BEAVER COUNTY, OK",5636,OK
"BECKHAM COUNTY, OK",22119,OK
"BLAINE COUNTY, OK",11943,OK
"BRYAN COUNTY, OK",42416,OK
"CADDO COUNTY, OK",29600,OK
"CANADIAN COUNTY, OK",115541,OK
"CARTER COUNTY, OK",47557,OK
"CHEROKEE COUNTY, OK",46987,OK
"CHOCTAW COUNTY, OK",15205,OK
"CIMARRON COUNTY, OK",2475,OK
"CLEVELAND COUNTY, OK",255755,OK
"COAL COUNTY, OK",5925,OK
"COMANCHE COUNTY, OK",124098,OK
"COTTON COUNTY, OK",6193,OK
"CRAIG COUNTY, OK",15029,OK
"CREEK COUNTY, OK",69967,OK
"CUSTER COUNTY, OK",27469,OK
"DELAWARE COUNTY, OK",41487,OK
"DEWEY COUNTY, OK",4810,OK
"ELLIS COUNTY, OK",4151,OK
"GARFIELD COUNTY, OK",60580,OK
"GARVIN COUNTY, OK",27576,OK
"GRADY COUNTY, OK",52431,OK
"GRANT COUNTY, OK",4527,OK
"GREER COUNTY, OK",6239,OK
"HARMON COUNTY, OK",2922,OK
"HARPER COUNTY, OK",3685,OK
"HASKELL COUNTY, OK",12769,OK
"HUGHES COUNTY, OK",14003,OK
"JACKSON COUNTY, OK",26446,OK
"JEFFERSON COUNTY, OK",6472,OK
"JOHNSTON COUNTY, OK",10957,OK
"KAY COUNTY, OK",46562,OK
"KINGFISHER COUNTY, OK",15034,OK
"KIOWA COUNTY, OK",9446,OK
"LATIMER COUNTY, OK",11154,OK
"LE FLORE COUNTY, OK",50384,OK
"LINCOLN COUNTY, OK",34273,OK
"LOGAN COUNTY, OK",41848,OK
"LOVE COUNTY, OK",9423,OK
"MCCLAIN COUNTY, OK",34506,OK
"MCCURTAIN COUNTY, OK",33151,OK
"MCINTOSH COUNTY, OK",20252,OK
"MAJOR COUNTY, OK",7527,OK
"MARSHALL COUNTY, OK",15840,OK
"MAYES COUNTY, OK",41259,OK
"MURRAY COUNTY, OK",13488,OK
"MUSKOGEE COUNTY, OK",70990,OK
"NOBLE COUNTY, OK",11561,OK
"NOWATA COUNTY, OK",10536,OK
"OKFUSKEE COUNTY, OK",12191,OK
"OKLAHOMA COUNTY, OK",718633,OK
"OKMULGEE COUNTY, OK",40069,OK
"OSAGE COUNTY, OK",47472,OK
"OTTAWA COUNTY, OK",31848,OK
"PAWNEE COUNTY, OK",16577,OK
"PAYNE COUNTY, OK",77350,OK
"PITTSBURG COUNTY, OK",45837,OK
"PONTOTOC COUNTY, OK",37492,OK
"POTTAWATOMIE COUNTY, OK",69442,OK
"PUSHMATAHA COUNTY, OK",11572,OK
"ROGER MILLS COUNTY, OK",3647,OK
"ROGERS COUNTY, OK",86905,OK
"SEMINOLE COUNTY, OK",25482,OK
"SEQUOYAH COUNTY, OK",42391,OK
"STEPHENS COUNTY, OK",45048,OK
"TEXAS COUNTY, OK",20640,OK
"TILLMAN COUNTY, OK",7992,OK
"TULSA COUNTY, OK",603403,OK
"WAGONER COUNTY, OK",73085,OK
"WASHINGTON COUNTY, OK",50976,OK
"WASHITA COUNTY, OK",11629,OK
"WOODS COUNTY, OK",8878,OK
"WOODWARD COUNTY, OK",20081,OK
"BAKER COUNTY, OR",16134,OR
"BENTON COUNTY, OR",85579,OR
"CLACKAMAS COUNTY, OR",375992,OR
"CLATSOP COUNTY, OR",37039,OR
"COLUMBIA COUNTY, OR",49351,OR
"COOS COUNTY, OR",63043,OR
"CROOK COUNTY, OR",20978,OR
