COUNTY_NAME,BUYER_STATE,YEAR,MONTH,QUANTITY
"ADAIR COUNTY, OK",OK,2006,1,37.0
"ADAIR COUNTY, OK",OK,2006,2,207.0
"ADAIR COUNTY, OK",OK,2006,3,234.0
"ADAIR COUNTY, OK",OK,2006,4,210.0
"ADAIR COUNTY, OK",OK,2006,5,232.0
"ADAIR COUNTY, OK",OK,2006,6,225.0
"ADAIR COUNTY, OK",OK,2006,7,237.0
"ADAIR COUNTY, OK",OK,2006,8,263.0
"ADAIR COUNTY, OK",OK,2006,9,205.0
"ADAIR COUNTY, OK",OK,2006,10,328.0
"ADAIR COUNTY, OK",OK,2006,11,307.0
"ADAIR COUNTY, OK",OK,2006,12,282.0
"ADAIR COUNTY, OK",OK,2007,1,46.0
"ADAIR COUNTY, OK",OK,2007,2,215.0
"ADAIR COUNTY, OK",OK,2007,3,237.0
"ADAIR COUNTY, OK",OK,2007,4,244.0
"ADAIR COUNTY, OK",OK,2007,5,286.0
"ADAIR COUNTY, OK",OK,2007,6,297.0
"ADAIR COUNTY, OK",OK,2007,7,289.0
"ADAIR COUNTY, OK",OK,2007,8,332.0
"ADAIR COUNTY, OK",OK,2007,9,265.0
"ADAIR COUNTY, OK",OK,2007,10,423.0
"ADAIR COUNTY, OK",OK,2007,11,352.0
"ADAIR COUNTY, OK",OK,2007,12,403.0
"ADAIR COUNTY, OK",OK,2008,1,20.0
"ADAIR COUNTY, OK",OK,2008,2,314.0
"ADAIR COUNTY, OK",OK,2008,3,352.0
"ADAIR COUNTY, OK",OK,2008,4,351.0
"ADAIR COUNTY, OK",OK,2008,5,332.0
"ADAIR COUNTY, OK",OK,2008,6,323.0
"ADAIR COUNTY, OK",OK,2008,7,343.0
"ADAIR COUNTY, OK",OK,2008,8,376.0
"ADAIR COUNTY, OK",OK,2008,9,408.0
"ADAIR COUNTY, OK",OK,2008,10,512.0
"ADAIR COUNTY, OK",OK,2008,11,431.0
"ADAIR COUNTY, OK",OK,2008,12,504.0
"ADAIR COUNTY, OK",OK,2009,1,22.0
"ADAIR COUNTY, OK",OK,2009,2,378.0
"ADAIR COUNTY, OK",OK,2009,3,548.0
"ADAIR COUNTY, OK",OK,2009,4,429.0
"ADAIR COUNTY, OK",OK,2009,5,490.0
"ADAIR COUNTY, OK",OK,2009,6,486.0
"ADAIR COUNTY, OK",OK,2009,7,408.0
"ADAIR COUNTY, OK",OK,2009,8,555.0
"ADAIR COUNTY, OK",OK,2009,9,432.0
"ADAIR COUNTY, OK",OK,2009,10,595.0
"ADAIR COUNTY, OK",OK,2009,11,569.0
"ADAIR COUNTY, OK",OK,2009,12,570.0
"ADAIR COUNTY, OK",OK,2010,1,33.0
"ADAIR COUNTY, OK",OK,2010,2,418.0
"ADAIR COUNTY, OK",OK,2010,3,491.0
"ADAIR COUNTY, OK",OK,2010,4,492.0
"ADAIR COUNTY, OK",OK,2010,5,440.0
"ADAIR COUNTY, OK",OK,2010,6,495.0
"ADAIR COUNTY, OK",OK,2010,7,537.0
"ADAIR COUNTY, OK",OK,2010,8,497.0
"ADAIR COUNTY, OK",OK,2010,9,574.0
"ADAIR COUNTY, OK",OK,2010,10,620.0
"ADAIR COUNTY, OK",OK,2010,11,813.0
"ADAIR COUNTY, OK",OK,2010,12,848.0
"ADAIR COUNTY, OK",OK,2011,1,60.0
"ADAIR COUNTY, OK",OK,2011,2,663.0
"ADAIR COUNTY, OK",OK,2011,3,803.0
"ADAIR COUNTY, OK",OK,2011,4,594.0
"ADAIR COUNTY, OK",OK,2011,5,702.0
"ADAIR COUNTY, OK",OK,2011,6,677.0
"ADAIR COUNTY, OK",OK,2011,7,621.0
"ADAIR COUNTY, OK",OK,2011,8,639.0
"ADAIR COUNTY, OK",OK,2011,9,664.0
"ADAIR COUNTY, OK",OK,2011,10,908.0
"ADAIR COUNTY, OK",OK,2011,11,799.0
"ADAIR COUNTY, OK",OK,2011,12,898.0
"ADAIR COUNTY, OK",OK,2012,1,131.0
"ADAIR COUNTY, OK",OK,2012,2,536.0
"ADAIR COUNTY, OK",OK,2012,3,548.0
"ADAIR COUNTY, OK",OK,2012,4,491.0
"ADAIR COUNTY, OK",OK,2012,5,627.0
"ADAIR COUNTY, OK",OK,2012,6,576.0
"ADAIR COUNTY, OK",OK,2012,7,530.0
"ADAIR COUNTY, OK",OK,2012,8,594.0
"ADAIR COUNTY, OK",OK,2012,9,521.0
"ADAIR COUNTY, OK",OK,2012,10,708.0
"ADAIR COUNTY, OK",OK,2012,11,808.0
"ADAIR COUNTY, OK",OK,2012,12,652.0
"ADAMS COUNTY, WA",WA,2006,1,31.0
"ADAMS COUNTY, WA",WA,2006,2,171.0
"ADAMS COUNTY, WA",WA,2006,3,201.0
"ADAMS COUNTY, WA",WA,2006,4,191.0
"ADAMS COUNTY, WA",WA,2006,5,205.0
